Text,Upos,Xpos
guys,NOUN,NNS
afraid,ADJ,JJ
of,ADP,IN
an,DET,DT
officer,NOUN,NN
coming,VERB,VBG
down,ADV,RB
here,ADV,RB
or,CCONJ,CC
something,PRON,NN
?,PUNCT,.
AIRMAN,NOUN,NN
2,NUM,CD
Trust,VERB,VBP
me,PRON,PRP
",",PUNCT,","
nobody,PRON,NN
ever,ADV,RB
comes,VERB,VBZ
down,ADV,RB
here,ADV,RB
but,CCONJ,CC
us,PRON,PRP
.,PUNCT,.
FEMALE,ADJ,JJ
AIRMAN,NOUN,NN
(,PUNCT,-LRB-
looking,VERB,VBG
to,ADP,IN
the,DET,DT
slightly,ADV,RB
billowing,VERB,VBG
Stargate,PROPN,NNP
cover,NOUN,NN
),PUNCT,-RRB-
Does,AUX,VBZ
that,DET,DT
thing,NOUN,NN
always,ADV,RB
do,VERB,VB
that,PRON,DT
?,PUNCT,.
AIRMAN,NOUN,NN
1,NUM,CD
Do,VERB,VBP
what,PRON,WP
?,PUNCT,.
FEMALE,ADJ,JJ
AIRMAN,NOUN,NN
Whatever,PRON,WP
it,PRON,PRP
is,AUX,VBZ
under,ADP,IN
the,DET,DT
tarp,NOUN,NN
",",PUNCT,","
I,PRON,PRP
just,ADV,RB
…,PUNCT,.
saw,VERB,VBD
it,PRON,PRP
move,NOUN,NN
or,CCONJ,CC
do,VERB,VB
something,PRON,NN
.,PUNCT,.
AIRMAN,NOUN,NN
2,NUM,CD
Probably,ADV,RB
the,DET,DT
only,ADJ,JJ
thing,NOUN,NN
it,PRON,PRP
ever,ADV,RB
did,VERB,VBD
was,AUX,VBD
cost,VERB,VB
money,NOUN,NN
.,PUNCT,.
AIRMAN,NOUN,NN
1,NUM,CD
Yeah,INTJ,UH
",",PUNCT,","
and,CCONJ,CC
it,PRON,PRP
looks,VERB,VBZ
like,SCONJ,IN
they,PRON,PRP
ran,VERB,VBD
out,ADP,IN
of,ADP,IN
that,PRON,DT
.,PUNCT,.
They,PRON,PRP
've,AUX,VBP
been,AUX,VBN
shipping,VERB,VBG
personnel,NOUN,NNS
out,ADP,IN
of,ADP,IN
here,ADV,RB
for,ADP,IN
months,NOUN,NNS
.,PUNCT,.
FEMALE,ADJ,JJ
AIRMAN,NOUN,NN
(,PUNCT,-LRB-
seeing,VERB,VBG
tarp,NOUN,NN
move,NOUN,NN
again,ADV,RB
),PUNCT,-RRB-
I,PRON,PRP
'm,AUX,VBP
telling,VERB,VBG
you,PRON,PRP
",",PUNCT,","
the,DET,DT
thing,NOUN,NN
is,AUX,VBZ
moving,VERB,VBG
!,PUNCT,.
AIRMAN,NOUN,NN
2,X,LS
If,SCONJ,IN
you,PRON,PRP
do,AUX,VBP
n't,PART,RB
have,VERB,VB
the,DET,DT
straight,ADJ,JJ
",",PUNCT,","
just,ADV,RB
fold,VERB,VB
.,PUNCT,.
[,PUNCT,-LRB-
She,PRON,PRP
gets,VERB,VBZ
up,ADP,RP
from,ADP,IN
her,PRON,PRP$
seat,NOUN,NN
and,CCONJ,CC
makes,VERB,VBZ
towards,ADP,IN
the,DET,DT
covered,VERB,VBN
item,NOUN,NN
.,PUNCT,.
],PUNCT,-RRB-
AIRMAN,NOUN,NN
1,NUM,CD
(,PUNCT,-LRB-
agitated,VERB,VBN
),PUNCT,-RRB-
Can,AUX,MD
we,PRON,PRP
take,VERB,VB
that,PRON,DT
as,ADP,IN
a,DET,DT
fold,NOUN,NN
?,PUNCT,.
AIRMAN,NOUN,NN
2,NUM,CD
Just,ADV,RB
finish,VERB,VBP
the,DET,DT
hand,NOUN,NN
",",PUNCT,","
she,PRON,PRP
's,AUX,VBZ
out,ADV,RB
.,PUNCT,.
[,PUNCT,-LRB-
The,DET,DT
female,ADJ,JJ
airman,NOUN,NN
approaches,VERB,VBZ
the,DET,DT
tarp,NOUN,NN
and,CCONJ,CC
starts,VERB,VBZ
up,ADP,RP
the,DET,DT
ramp,NOUN,NN
.,PUNCT,.
It,PRON,PRP
starts,VERB,VBZ
shaking,VERB,VBG
suddenly,ADV,RB
",",PUNCT,","
they,PRON,PRP
hear,VERB,VBP
a,DET,DT
rumbling,NOUN,NN
sound,NOUN,NN
",",PUNCT,","
and,CCONJ,CC
she,PRON,PRP
backs,VERB,VBZ
away,ADV,RB
down,ADP,IN
the,DET,DT
ramp,NOUN,NN
as,SCONJ,IN
it,PRON,PRP
shakes,VERB,VBZ
along,ADV,RB
with,ADP,IN
the,DET,DT
table,NOUN,NN
where,ADV,WRB
the,DET,DT
other,ADJ,JJ
airmen,NOUN,NNS
are,AUX,VBP
seated,VERB,VBN
.,PUNCT,.
The,DET,DT
jump,NOUN,NN
to,ADP,IN
their,PRON,PRP$
feet,NOUN,NNS
",",PUNCT,","
hands,NOUN,NNS
to,ADP,IN
their,PRON,PRP$
guns,NOUN,NNS
.,PUNCT,.
],PUNCT,-RRB-
AIRMAN,NOUN,NN
3,NUM,CD
What,PRON,WP
the,DET,DT
…?,PUNCT,.
[,PUNCT,-LRB-
The,DET,DT
tarp,NOUN,NN
flies,VERB,VBZ
from,ADP,IN
the,DET,DT
device,NOUN,NN
and,CCONJ,CC
reveals,VERB,VBZ
the,DET,DT
Stargate,PROPN,NNP
spinning,NOUN,NN
and,CCONJ,CC
active,ADJ,JJ
.,PUNCT,.
],PUNCT,-RRB-
AIRMAN,NOUN,NN
3,NUM,CD
Whoa,INTJ,UH
!,PUNCT,.
FEMALE,ADJ,JJ
AIRMAN,NOUN,NN
I,PRON,PRP
take,VERB,VBP
it,PRON,PRP
this,PRON,DT
has,AUX,VBZ
never,ADV,RB
happened,VERB,VBN
before,ADV,RB
?,PUNCT,.
[,PUNCT,-LRB-
Airman,PROPN,NNP
2,NUM,CD
goes,VERB,VBZ
to,ADP,IN
the,DET,DT
red,ADJ,JJ
phone,NOUN,NN
on,ADP,IN
the,DET,DT
wall,NOUN,NN
as,ADP,IN
the,DET,DT
other,ADJ,JJ
stand,NOUN,NN
ready,ADJ,JJ
at,ADP,IN
the,DET,DT
base,NOUN,NN
of,ADP,IN
the,DET,DT
ramp,NOUN,NN
.,PUNCT,.
The,DET,DT
Stargate,PROPN,NNP
activates—,NOUN,NN
the,DET,DT
kawhoosh,NOUN,NN
expands,VERB,VBZ
outwards,ADV,RB
and,CCONJ,CC
",",PUNCT,","
he,PRON,PRP
drops,VERB,VBZ
the,DET,DT
phone,NOUN,NN
.,PUNCT,.
The,DET,DT
others,NOUN,NNS
fall,VERB,VBP
to,ADP,IN
the,DET,DT
ground,NOUN,NN
as,SCONJ,IN
the,DET,DT
event,NOUN,NN
horizon,NOUN,NN
billows,VERB,VBZ
out,ADP,RP
towards,ADP,IN
them,PRON,PRP
.,PUNCT,.
Airman,NOUN,NN
1,NUM,CD
passes,VERB,VBZ
out,ADP,RP
guns,NOUN,NNS
",",PUNCT,","
and,CCONJ,CC
they,PRON,PRP
ready,ADJ,JJ
them,PRON,PRP
",",PUNCT,","
standing,VERB,VBG
and,CCONJ,CC
waiting,VERB,VBG
in,ADP,IN
front,NOUN,NN
of,ADP,IN
the,DET,DT
Stargate,PROPN,NNP
.,PUNCT,.
The,DET,DT
female,ADJ,JJ
airman,NOUN,NN
starts,VERB,VBZ
up,ADP,RP
the,DET,DT
ramp,NOUN,NN
.,PUNCT,.
],PUNCT,-RRB-
AIRMAN,NOUN,NN
1,NUM,CD
What,PRON,WP
are,AUX,VBP
you,PRON,PRP
doing,VERB,VBG
?,PUNCT,.
[,PUNCT,-LRB-
As,SCONJ,IN
she,PRON,PRP
reaches,VERB,VBZ
the,DET,DT
Stargate,PROPN,NNP
",",PUNCT,","
a,DET,DT
ball,NOUN,NN
drops,VERB,VBZ
through,ADP,IN
it,PRON,PRP
to,ADP,IN
her,PRON,PRP$
feet,NOUN,NNS
",",PUNCT,","
glows,VERB,VBZ
",",PUNCT,","
and,CCONJ,CC
seems,VERB,VBZ
to,PART,TO
scan,VERB,VB
her,PRON,PRP$
bodily,NOUN,NN
.,PUNCT,.
It,PRON,PRP
falls,VERB,VBZ
still,ADV,RB
",",PUNCT,","
and,CCONJ,CC
she,PRON,PRP
bends,VERB,VBZ
down,ADV,RB
to,PART,TO
touch,VERB,VB
it,PRON,PRP
.,PUNCT,.
],PUNCT,-RRB-
AIRMAN,NOUN,NN
3,NUM,CD
What,PRON,WP
are,AUX,VBP
you,PRON,PRP
doing,VERB,VBG
?,PUNCT,.
AIRMAN,PROPN,NNP
1,NUM,CD
Do,AUX,VBP
n't,PART,RB
touch,VERB,VB
it,PRON,PRP
!,PUNCT,.
[,PUNCT,-LRB-
She,PRON,PRP
picks,VERB,VBZ
it,PRON,PRP
up,ADP,RP
",",PUNCT,","
looking,VERB,VBG
back,ADV,RB
to,ADP,IN
them,PRON,PRP
in,ADP,IN
confusion,NOUN,NN
.,PUNCT,.
Then,ADV,RB
a,DET,DT
serpent,NOUN,NN
guard,NOUN,NN
steps,NOUN,NNS
through,ADP,IN
the,DET,DT
wormhole,NOUN,NN
right,ADV,RB
on,ADP,IN
top,NOUN,NN
of,ADP,IN
her,PRON,PRP
",",PUNCT,","
taking,VERB,VBG
a,DET,DT
hold,NOUN,NN
of,ADP,IN
her,PRON,PRP
round,ADP,IN
the,DET,DT
neck,NOUN,NN
and,CCONJ,CC
taking,VERB,VBG
her,PRON,PRP$
gun,NOUN,NN
.,PUNCT,.
The,DET,DT
other,ADJ,JJ
airmen,NOUN,NNS
aim,VERB,VBP
their,PRON,PRP$
guns,NOUN,NNS
.,PUNCT,.
],PUNCT,-RRB-
AIRMAN,NOUN,NN
1,NUM,CD
Hold,VERB,VB
your,PRON,PRP$
fire,NOUN,NN
!,PUNCT,.
[,PUNCT,-LRB-
More,ADJ,JJR
serpent,NOUN,NN
guards,NOUN,NNS
come,VERB,VBP
through,ADP,IN
the,DET,DT
Stargate,PROPN,NNP
.,PUNCT,.
],PUNCT,-RRB-
AIRMAN,NOUN,NN
1,NUM,CD
Identi,PROPN,NNP
…,PUNCT,.
Hold,VERB,VB
it,PRON,PRP
…,PUNCT,.
Identify,VERB,VB
yourself,PRON,PRP
!,PUNCT,.
[,PUNCT,-LRB-
The,DET,DT
last,ADJ,JJ
figure,NOUN,NN
steps,NOUN,NNS
through,ADP,IN
the,DET,DT
Stargate,PROPN,NNP
",",PUNCT,","
his,PRON,PRP$
armour,NOUN,NN
made,VERB,VBD
of,ADP,IN
gold,NOUN,NN
.,PUNCT,.
He,PRON,PRP
stands,VERB,VBZ
in,ADP,IN
front,NOUN,NN
of,ADP,IN
his,PRON,PRP$
seven,NUM,CD
guards,NOUN,NNS
and,CCONJ,CC
reveals,VERB,VBZ
his,PRON,PRP$
face—a,ADJ,JJ
human,ADJ,JJ
face,NOUN,NN
.,PUNCT,.
],PUNCT,-RRB-
APOPHIS,PROPN,NNP
(,PUNCT,-LRB-
in,ADP,IN
echoing,VERB,VBG
voice,NOUN,NN
),PUNCT,-RRB-
Jaffa,PROPN,NNP
!,PUNCT,.
Kree,PROPN,NNP
!,PUNCT,.
[,PUNCT,-LRB-
The,DET,DT
guard,NOUN,NN
holding,VERB,VBG
the,DET,DT
female,ADJ,JJ
airman,NOUN,NN
reveals,VERB,VBZ
his,PRON,PRP$
face,NOUN,NN
",",PUNCT,","
and,CCONJ,CC
Apophis,PROPN,NNP
turns,VERB,VBZ
to,ADP,IN
him,PRON,PRP
.,PUNCT,.
],PUNCT,-RRB-
APOPHIS,PROPN,NNP
Teal,PROPN,NNP
'c,NOUN,NN
",",PUNCT,","
kree,NOUN,NN
!,PUNCT,.
[,PUNCT,-LRB-
Teal,PROPN,NNP
'c,PROPN,NNP
studies,VERB,VBZ
the,DET,DT
female,ADJ,JJ
airman,NOUN,NN
's,PART,POS
gun,NOUN,NN
",",PUNCT,","
then,ADV,RB
drops,VERB,VBZ
it,PRON,PRP
and,CCONJ,CC
passes,VERB,VBZ
the,DET,DT
woman,NOUN,NN
roughly,ADV,RB
to,ADP,IN
Apophis,PROPN,NNP
.,PUNCT,.
],PUNCT,-RRB-
FEMALE,ADJ,JJ
AIRMAN,NOUN,NN
Get,VERB,VB
your,PRON,PRP$
hands,NOUN,NNS
off,ADP,IN
me,PRON,PRP
!,PUNCT,.
[,PUNCT,-LRB-
Apophis,PROPN,NNP
brings,VERB,VBZ
his,PRON,PRP$
hand,NOUN,NN
up,ADP,RP
and,CCONJ,CC
a,DET,DT
device,NOUN,NN
emits,VERB,VBZ
a,DET,DT
glow,NOUN,NN
that,PRON,WDT
latches,VERB,VBZ
on,ADP,RP
to,ADP,IN
her,PRON,PRP$
face,NOUN,NN
",",PUNCT,","
she,PRON,PRP
becomes,VERB,VBZ
calm,ADJ,JJ
.,PUNCT,.
],PUNCT,-RRB-
AIRMAN,PROPN,NNP
1,NUM,CD
Let,VERB,VB
her,PRON,PRP
go,VERB,VB
!,PUNCT,.
[,PUNCT,-LRB-
One,NUM,CD
of,ADP,IN
the,DET,DT
serpent,NOUN,NN
guards,NOUN,NNS
fires,VERB,VBZ
with,ADP,IN
his,PRON,PRP$
staff,NOUN,NN
weapon,NOUN,NN
",",PUNCT,","
and,CCONJ,CC
a,DET,DT
fire,NOUN,NN
fight,NOUN,NN
ensues,VERB,VBZ
.,PUNCT,.
Teal,PROPN,NNP
'c,PROPN,NNP
covers,VERB,VBZ
the,DET,DT
female,ADJ,JJ
airman,NOUN,NN
with,ADP,IN
his,PRON,PRP$
body,NOUN,NN
as,SCONJ,IN
the,DET,DT
bullets,NOUN,NNS
bounce,VERB,VBP
off,ADP,IN
the,DET,DT
Goa'uld,PROPN,NNP
armour,NOUN,NN
.,PUNCT,.
Apophis,PROPN,NNP
sees,VERB,VBZ
one,NUM,CD
of,ADP,IN
his,PRON,PRP$
guards,NOUN,NNS
go,VERB,VBP
down,ADV,RB
.,PUNCT,.
One,NUM,CD
of,ADP,IN
the,DET,DT
airmen,NOUN,NNS
is,AUX,VBZ
hit,VERB,VBN
",",PUNCT,","
and,CCONJ,CC
he,PRON,PRP
crashes,VERB,VBZ
into,ADP,IN
the,DET,DT
card,NOUN,NN
table,NOUN,NN
.,PUNCT,.
],PUNCT,-RRB-
APOPHIS,PROPN,NNP
Kree,PROPN,NNP
!,PUNCT,.
Jaffa,PROPN,NNP
!,PUNCT,.
[,PUNCT,-LRB-
He,PRON,PRP
waves,VERB,VBZ
them,PRON,PRP
back,ADV,RB
.,PUNCT,.
],PUNCT,-RRB-
AIRMAN,NOUN,NN
2,NUM,CD
(,PUNCT,-LRB-
into,ADP,IN
the,DET,DT
phone,NOUN,NN
),PUNCT,-RRB-
We,PRON,PRP
're,AUX,VBP
under,ADP,IN
fire,NOUN,NN
down,ADV,RB
here,ADV,RB
.,PUNCT,.
We,PRON,PRP
need,VERB,VBP
…,PUNCT,","
[,PUNCT,-LRB-
He,PRON,PRP
is,AUX,VBZ
hit,VERB,VBN
by,ADP,IN
a,DET,DT
staff,NOUN,NN
blast,NOUN,NN
and,CCONJ,CC
goes,VERB,VBZ
down,ADP,RP
.,PUNCT,.
Airmen,NOUN,NNS
1,NUM,CD
continues,VERB,VBZ
firing,VERB,VBG
until,SCONJ,IN
he,PRON,PRP
too,ADV,RB
is,AUX,VBZ
finally,ADV,RB
struck,VERB,VBN
.,PUNCT,.
The,DET,DT
base,NOUN,NN
alarms,NOUN,NNS
have,AUX,VBP
started,VERB,VBN
sounding,VERB,VBG
.,PUNCT,.
],PUNCT,-RRB-
APOPHIS,PROPN,NNP
Teal,PROPN,NNP
'c,NOUN,NN
.,PUNCT,.
A,DET,DT
'la,NOUN,NN
spree,NOUN,NN
.,PUNCT,.
[,PUNCT,-LRB-
He,PRON,PRP
looks,VERB,VBZ
towards,ADP,IN
the,DET,DT
Stargate,PROPN,NNP
.,PUNCT,.
],PUNCT,-RRB-
INT—,PROPN,NNP
BASE,NOUN,NN
CORRIDORS,NOUN,NNS
[,PUNCT,-LRB-
Airmen,PROPN,NNPS
are,AUX,VBP
running,VERB,VBG
for,ADP,IN
the,DET,DT
gate,NOUN,NN
room,NOUN,NN
.,PUNCT,.
],PUNCT,-RRB-
SF,PROPN,NNP
Go,VERB,VB
",",PUNCT,","
go,VERB,VB
!,PUNCT,.
[,PUNCT,-LRB-
The,DET,DT
Mountain,PROPN,NNP
doors,NOUN,NNS
close,ADJ,JJ
.,PUNCT,.
],PUNCT,-RRB-
INT—,PROPN,NNP
GATE,PROPN,NNP
ROOM,NOUN,NN
[,PUNCT,-LRB-
General,PROPN,NNP
Hammond,PROPN,NNP
and,CCONJ,CC
the,DET,DT
airmen,NOUN,NNS
stream,VERB,VBP
in,ADV,RB
and,CCONJ,CC
take,VERB,VBP
position,NOUN,NN
.,PUNCT,.
All,DET,DT
but,CCONJ,CC
Apophis,PROPN,NNP
",",PUNCT,","
the,DET,DT
female,ADJ,JJ
airman,NOUN,NN
and,CCONJ,CC
two,NUM,CD
of,ADP,IN
his,PRON,PRP$
guards,NOUN,NNS
are,AUX,VBP
gone,VERB,VBN
.,PUNCT,.
One,PRON,PRP
picks,VERB,VBZ
up,ADP,RP
the,DET,DT
scanning,NOUN,NN
device,NOUN,NN
.,PUNCT,.
The,DET,DT
airmen,NOUN,NNS
cock,VERB,VBP
their,PRON,PRP$
guns,NOUN,NNS
.,PUNCT,.
],PUNCT,-RRB-
HAMMOND,PROPN,NNP
Hold,VERB,VB
your,PRON,PRP$
fire,NOUN,NN
!,PUNCT,.
[,PUNCT,-LRB-
Apophis's,PROPN,NNP
eyes,VERB,VBZ
glow,NOUN,NN
",",PUNCT,","
his,PRON,PRP$
helmet,NOUN,NN
goes,VERB,VBZ
up,ADP,RP
",",PUNCT,","
and,CCONJ,CC
they,PRON,PRP
retreat,VERB,VBP
through,ADP,IN
the,DET,DT
Stargate,PROPN,NNP
.,PUNCT,.
It,PRON,PRP
dissipates,VERB,VBZ
.,PUNCT,.
],PUNCT,-RRB-
END,NOUN,NN
OF,ADP,IN
TEASER,NOUN,NN
OPENING,VERB,VBG
CREDITS,NOUN,NNS
EXT,PROPN,NNP
—,PUNCT,","
OUTSIDE,ADP,IN
O,ADP,IN
'NEILL'S,NOUN,NNS
HOUSE,NOUN,NN
",",PUNCT,","
NIGHT,NOUN,NN
[,PUNCT,-LRB-
Major,PROPN,NNP
Samuels,PROPN,NNP
gets,VERB,VBZ
out,ADP,IN
of,ADP,IN
his,PRON,PRP$
car,NOUN,NN
and,CCONJ,CC
walks,VERB,VBZ
towards,ADP,IN
the,DET,DT
house,NOUN,NN
",",PUNCT,","
he,PRON,PRP
knocks,VERB,VBZ
on,ADP,IN
the,DET,DT
door,NOUN,NN
.,PUNCT,.
An,DET,DT
airman,NOUN,NN
accompanying,VERB,VBG
him,PRON,PRP
moves,VERB,VBZ
round,ADV,RB
to,ADP,IN
the,DET,DT
side,NOUN,NN
of,ADP,IN
the,DET,DT
house,NOUN,NN
.,PUNCT,.
],PUNCT,-RRB-
AIRMAN,PROPN,NNP
Sir,PROPN,NNP
",",PUNCT,","
there,PRON,EX
's,VERB,VBZ
a,DET,DT
ladder,NOUN,NN
over,ADP,IN
here,ADV,RB
.,PUNCT,.
[,PUNCT,-LRB-
They,PRON,PRP
climb,VERB,VBP
up,ADP,RP
to,SCONJ,IN
where,ADV,WRB
O'Neill,PROPN,NNP
has,VERB,VBZ
his,PRON,PRP$
eye,NOUN,NN
to,ADP,IN
a,DET,DT
telescope,NOUN,NN
pointing,VERB,VBG
to,ADP,IN
the,DET,DT
sky,NOUN,NN
.,PUNCT,.
],PUNCT,-RRB-
SAMUELS,PROPN,NNP
Colonel,PROPN,NNP
Jack,PROPN,NNP
O'Neill,PROPN,NNP
?,PUNCT,.
O'NEILL,PROPN,NNP
(,PUNCT,-LRB-
not,PART,RB
looking,VERB,VBG
at,ADP,IN
him,PRON,PRP
),PUNCT,-RRB-
Retired,ADJ,JJ
.,PUNCT,.
SAMUELS,PROPN,NNP
I,PRON,PRP
'm,AUX,VBP
Major,PROPN,NNP
Samuels,PROPN,NNP
.,PUNCT,.
O'NEILL,PROPN,NNP
Air,PROPN,NNP
Force,PROPN,NNP
?,PUNCT,.
SAMUELS,PROPN,NNP
Yes,INTJ,UH
",",PUNCT,","
sir,PROPN,NNP
",",PUNCT,","
I,PRON,PRP
'm,AUX,VBP
the,DET,DT
General,PROPN,NNP
's,PART,POS
Executive,ADJ,JJ
Officer,NOUN,NN
.,PUNCT,.
O'NEILL,PROPN,NNP
Want,VERB,VBP
a,DET,DT
little,ADJ,JJ
piece,NOUN,NN
of,ADP,IN
advice,NOUN,NN
",",PUNCT,","
Major,ADJ,JJ
?,PUNCT,.
Get,AUX,VB
re-assed,VERB,VBN
to,ADP,IN
NASA,PROPN,NNP
.,PUNCT,.
That,PRON,DT
's,AUX,VBZ
where,ADV,WRB
all,DET,PDT
the,DET,DT
action,NOUN,NN
's,PART,POS
gon,VERB,VBG
na,PART,TO
be,AUX,VB
.,PUNCT,.
Out,ADV,RB
there,ADV,RB
.,PUNCT,.
[,PUNCT,-LRB-
O'Neill,PROPN,NNP
continues,VERB,VBZ
looking,VERB,VBG
at,ADP,IN
a,DET,DT
galaxy,NOUN,NN
formation,NOUN,NN
through,ADP,IN
the,DET,DT
telescope,NOUN,NN
.,PUNCT,.
],PUNCT,-RRB-
SAMUELS,PROPN,NNP
I,PRON,PRP
'm,AUX,VBP
uh,INTJ,UH
",",PUNCT,","
I,PRON,PRP
'm,AUX,VBP
under,ADP,IN
orders,NOUN,NNS
to,PART,TO
bring,VERB,VB
you,PRON,PRP
to,PART,TO
see,VERB,VB
General,PROPN,NNP
Hammond,PROPN,NNP
",",PUNCT,","
sir,PROPN,NNP
.,PUNCT,.
O'NEILL,PROPN,NNP
Never,ADV,RB
heard,VERB,VBD
of,ADP,IN
him,PRON,PRP
.,PUNCT,.
SAMUELS,PROPN,NNP
He,PRON,PRP
replaced,VERB,VBD
General,PROPN,NNP
West,PROPN,NNP
.,PUNCT,.
He,PRON,PRP
says,VERB,VBZ
it,PRON,PRP
's,AUX,VBZ
important,ADJ,JJ
.,PUNCT,.
Has,VERB,VBZ
to,PART,TO
do,VERB,VB
with,ADP,IN
the,DET,DT
Stargate,PROPN,NNP
.,PUNCT,.
[,PUNCT,-LRB-
O'Neill,PROPN,NNP
finally,ADV,RB
looks,VERB,VBZ
around,ADV,RB
",",PUNCT,","
interested,ADJ,JJ
.,PUNCT,.
],PUNCT,-RRB-
EXT—,PROPN,NNP
CHEYENNE,PROPN,NNP
MOUNTAIN,PROPN,NNP
BASE,NOUN,NN
",",PUNCT,","
NIGHT,NOUN,NN
[,PUNCT,-LRB-
A,DET,DT
car,NOUN,NN
enters,VERB,VBZ
the,DET,DT
base,NOUN,NN
.,PUNCT,.
],PUNCT,-RRB-
INT—ELEVATOR,PROPN,NNP
[,PUNCT,-LRB-
O'Neill,PROPN,NNP
",",PUNCT,","
dressed,VERB,VBN
in,ADP,IN
casual,ADJ,JJ
clothes,NOUN,NNS
",",PUNCT,","
is,AUX,VBZ
accompanied,VERB,VBN
by,ADP,IN
an,DET,DT
officer,NOUN,NN
down,ADV,RB
to,ADP,IN
Sublevel,PROPN,NNP
11,NUM,CD
.,PUNCT,.
They,PRON,PRP
walk,VERB,VBP
down,ADP,IN
the,DET,DT
corridor,NOUN,NN
.,PUNCT,.
],PUNCT,-RRB-
INTERCOM,PROPN,NNP
Tag,NOUN,NN
team,NOUN,NN
number,NOUN,NN
nine,NUM,CD
to,ADP,IN
Sublevel,PROPN,NNP
Two,NUM,CD
",",PUNCT,","
Vent,PROPN,NNP
Shaft,PROPN,NNP
Twenty,NUM,CD
-,PUNCT,HYPH
Four.,PROPN,NNP
[,PUNCT,-LRB-
O'Neill,PROPN,NNP
signs,VERB,VBZ
in,ADP,IN
at,ADP,IN
the,DET,DT
desk,NOUN,NN
",",PUNCT,","
and,CCONJ,CC
they,PRON,PRP
head,VERB,VBP
for,ADP,IN
a,DET,DT
second,ADJ,JJ
elevator,NOUN,NN
.,PUNCT,.
],PUNCT,-RRB-
OFFICER,NOUN,NN
We,PRON,PRP
have,VERB,VBP
to,PART,TO
take,VERB,VB
a,DET,DT
second,ADJ,JJ
elevator,NOUN,NN
the,DET,DT
rest,NOUN,NN
of,ADP,IN
the,DET,DT
way,NOUN,NN
",",PUNCT,","
sir,PROPN,NNP
",",PUNCT,","
it,PRON,PRP
's,AUX,VBZ
a,DET,DT
long,ADJ,JJ
way,NOUN,NN
down,ADV,RB
.,PUNCT,.
O'NEILL,PROPN,NNP
(,PUNCT,-LRB-
entering,VERB,VBG
the,DET,DT
elevator,NOUN,NN
),PUNCT,-RRB-
Yeah,INTJ,UH
I,PRON,PRP
know,VERB,VBP
.,PUNCT,.
I,PRON,PRP
've,AUX,VBP
been,AUX,VBN
here,ADV,RB
before,ADV,RB
.,PUNCT,.
OFFICER,NOUN,NN
Ah,INTJ,UH
",",PUNCT,","
of,ADV,RB
course,ADV,RB
.,PUNCT,.
[,PUNCT,-LRB-
The,DET,DT
elevator,NOUN,NN
descends,VERB,VBZ
",",PUNCT,","
and,CCONJ,CC
they,PRON,PRP
get,VERB,VBP
out,ADP,RP
.,PUNCT,.
Samuels,PROPN,NNP
is,AUX,VBZ
at,ADP,IN
the,DET,DT
end,NOUN,NN
of,ADP,IN
the,DET,DT
corridor,NOUN,NN
.,PUNCT,.
He,PRON,PRP
motions,VERB,VBZ
O'Neill,PROPN,NNP
